ID	Description	Length	GC
CP003157.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  complete  genome	2250427	35.8788798748
CP007605.1	Helicobacter  pylori  strain  BM012B  complete  genome	1659060	38.8762311188
CP002332.1	Helicobacter  pylori  Gambia94/24  complete  genome	1709911	39.1263638868
CP012689.1	Campylobacter  jejuni  subsp.  jejuni  strain  RM3197  complete  genome	1664565	30.5924370631
CP018007.1	Bacillus  velezensis  strain  sx01604  complete  genome	3926520	46.5006927254
CP000036.1	Shigella  boydii  Sb227  complete  genome	4519823	51.2128019172
CP018245.1	Escherichia  coli  strain  472  complete  genome	5513531	50.4998702284
CP000302.1	Shewanella  denitrificans  OS217  complete  genome	4545906	45.1491737841
CP006958.1	UNVERIFIED:  Achromobacter  xylosoxidans  NBRC  15126  =  ATCC  27061  complete  genome	6683584	67.5320157568
CP016684.1	Neisseria  meningitidis  strain  L91543  complete  genome	2173191	51.7226051461
CP000993.1	Borrelia  recurrentis  A1  complete  genome	930981	27.5181770627
CP012083.1	Bordetella  pertussis  strain  I751  complete  genome	4109556	67.7036156704
CP009715.1	Yersinia  pestis  Pestoides  F  complete  genome	4519828	47.6425430348
CP001680.1	Helicobacter  pylori  52  complete  genome	1568826	38.9409023053
CP011188.1	Bordetella  pertussis  strain  H707  complete  genome	4107280	67.706170507
CP010350.1	Acinetobacter  johnsonii  XBB1  complete  genome	3509795	41.4308243074
AM406670.1	Azoarcus  sp.  BH72  complete  genome	4376040	67.9164495754
CP002394.1	Bacillus  cellulosilyticus  DSM  2522  complete  genome	4681672	36.5219519864
CP009709.1	Bacillus  coagulans  DSM  1  =  ATCC  7050  complete  genome	3366995	46.8972481397
CP010897.2	Pandoraea  vervacti  strain  NS15  complete  genome	5636000	63.5537437899
CP008853.1	Bacillus  anthracis  strain  Cvac02  complete  genome	5227170	35.3706881544
CP013676.1	Xanthomonas  oryzae  pv.  oryzae  strain  PXO282  complete  genome	4961996	63.6888058757
CP014924.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  complete  genome	3437918	47.1787285212
CP011442.1	Bordetella  pertussis  strain  B3405  complete  genome	4109988	67.7002463268
CP001074.1	Rhizobium  etli  CIAT  652  complete  genome	4513324	61.6651939901
CP013106.1	Halomonas  huangheensis  strain  BJGMM-B45  complete  genome	4757486	58.5292316152
CP017150.1	Brevibacterium  linens  strain  SMQ-1335  complete  genome	4209935	62.63277224
CP007496.1	Candidatus  Saccharibacteria  oral  taxon  TM7x  complete  genome	705138	44.4532843217
CP016530.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  complete  genome	4751449	52.1918471607
BX072543.1	Tropheryma  whipplei  TW08/27  complete  genome	925938	46.3140080653
AM408590.1	Mycobacterium  bovis  BCG  Pasteur  1173P2  complete  genome	4374522	65.6360397776
CP001900.1	Campylobacter  jejuni  subsp.  jejuni  M1  complete  genome	1616648	30.6010337439
CP013182.1	Staphylococcus  aureus  strain  SA40TW  complete  genome	2771849	32.8999523423
CP017279.1	Enterobacter  ludwigii  strain  EN-119  complete  genome	4857439	54.5959712515
CP017480.1	Luteibacter  rhizovicinus  DSM  16549  strain  LJ96T  complete  genome	4765486	64.7218143123
CP009451.1	Cedecea  neteri  strain  SSMD04  complete  genome	4876443	55.1027459974
CP000611.1	Mycobacterium  tuberculosis  H37Ra  complete  genome	4419977	65.6125133683
AE017308.1	Mycoplasma  mobile  163K  complete  genome	777079	24.9512597818
CP002431.1	Desulfovibrio  aespoeensis  Aspo-2  complete  genome	3629109	62.5619676896
CP007686.1	Listeria  monocytogenes  strain  L2624  complete  genome	2932501	38.0430901814
CP017862.1	Campylobacter  jejuni  strain  FJ3124  complete  genome	1694324	30.5807507891
CP011323.1	Escherichia  coli  strain  SQ171  complete  genome	4599702	50.7752893557
CP009596.1	Bacillus  cereus  strain  3a  complete  genome	5270991	35.4481728388
CP007670.1	Staphylococcus  aureus  strain  M121  complete  genome	2896143	32.8625347574
CP012649.1	Trueperella  pyogenes  strain  2012CQ-ZSH  complete  genome	2295822	59.6693471881
CP010249.1	Bordetella  pertussis  strain  H564  complete  genome	4109554	67.7035756192
CP018237.1	Escherichia  coli  strain  155  complete  genome	5513008	50.5473962672
CP007201.1	Sulfurospirillum  multivorans  DSM  12446  complete  genome	3175729	40.8982630445
CP003338.1	Rickettsia  australis  str.  Cutlack  complete  genome	1296670	32.2546214534
CP015641.1	Pseudomonas  stutzeri  strain  273  complete  genome	5030940	60.284320624
CP014681.1	Kozakia  baliensis  strain  NBRC  16680  complete  genome	2807246	57.5182224857
CP003806.1	Candidatus  Kinetoplastibacterium  galatii  TCC219  complete  genome	822140	32.3586007249
CP003393.1	Rickettsia  prowazekii  str.  BuV67-CWPP  complete  genome	1111445	29.0002654202
AE016853.1	Pseudomonas  syringae  pv.  tomato  str.  DC3000  complete  genome	6397126	58.3988809975
CP013904.1	Bordetella  pertussis  strain  J208  complete  genome	4108471	67.7046034887
CP003885.1	Legionella  pneumophila  subsp.  pneumophila  LPE509  complete  genome	3434224	38.3333178034
CP006863.1	Bacillus  toyonensis  BCT-7112  complete  genome	4940474	35.6033449422
AE014295.3	Bifidobacterium  longum  NCC2705  complete  genome	2256640	60.1198241634
CP010796.1	Carnobacterium  sp.  CP1  complete  genome	2605518	38.1288480832
CP002157.1	Maribacter  sp.  HTCC2170  complete  genome	3868304	36.9774454128
CP016622.1	Parageobacillus  thermoglucosidans  strain  NCIMB  11955  complete  genome	3873105	43.8913997942
CP011206.1	Bordetella  pertussis  strain  I915  complete  genome	4106386	67.7067133971
CP019979.1	Streptococcus  agalactiae  strain  Sag158  complete  genome	2096882	35.6667184896
CP001996.1	Staphylococcus  aureus  subsp.  aureus  ED133  complete  genome	2832478	32.9162662517
CP005493.3	Helicobacter  pylori  UM066  complete  genome	1658047	38.616637526
CP007161.1	Virgibacillus  sp.  SK37  complete  genome	3821074	37.6303363923
CP018840.1	Escherichia  coli  isolate  64  complete  genome	4759716	50.6449544469
CP001127.1	Salmonella  enterica  subsp.  enterica  serovar  Schwarzengrund  str.  CVM19633  complete  genome	4709075	52.1741318624
CP002528.1	Krokinobacter  sp.  4H-3-7-5  complete  genome	3389993	37.2891330454
CP016635.1	Francisella  tularensis  subsp.  novicida  PA10-7858  complete  genome	1978958	32.3639005982
CP000238.1	Baumannia  cicadellinicola  str.  Hc  (Homalodisca  coagulata)  complete  genome	686194	33.2349160733
CP010967.1	Thermotoga  maritima  strain  Tma200  complete  genome	1859582	46.2720116671
CP014252.1	Listeria  monocytogenes  strain  CFSAN023459  complete  genome	3039887	38.0789154334
CP014761.1	Leifsonia  xyli  strain  SE134  complete  genome	3596761	70.2199562328
CP002273.2	Eubacterium  limosum  KIST612  complete  genome	4316707	47.4975021469
CP011805.1	Altererythrobacter  marensis  strain  KCTC  22370  complete  genome	2885033	64.6540611494
CP021434.1	Tumebacillus  sp.  AR23208  complete  genome	5249768	56.0108751472
CP012352.1	Propionibacterium  acnes  strain  PA_15_2_L1  complete  genome	2540008	60.1189445073
CP014991.1	Helicobacter  himalayensis  strain  YS1  complete  genome	1829936	39.8863676107
CP016654.1	Neisseria  meningitidis  strain  M22811  complete  genome	2185698	51.6197114148
CP011372.1	Campylobacter  lari  strain  Slaughter  Beach  complete  genome	1563032	29.844046699
CP011510.1	Mycobacterium  tuberculosis  strain  Beijing  complete  genome	4378588	65.613115461
CP013727.1	Bacillus  amyloliquefaciens  strain  MBE1283  complete  genome	3966922	46.5336601022
CP002054.1	Chlamydia  trachomatis  D-LC  complete  genome	1042520	41.307504892
CP014795.1	Bacillus  licheniformis  strain  SCK  B11  complete  genome	4300706	45.9343419429
CP012375.1	Microcystis  aeruginosa  NIES-2481  complete  genome	4293006	42.9110744313
AP012600.1	Helicobacter  pylori  OK113  DNA  complete  genome	1616617	38.7300764498
CP003060.1	Glaciecola  nitratireducens  FR1064  complete  genome	4134229	42.2986244835
HE965805.1	Bordetella  pertussis  18323  complete  genome	4043846	67.6861829061
CP013080.1	Bordetella  pertussis  strain  E194  complete  genome	4103209	67.7095414833
CP013062.1	Peregrinibacteria  bacterium  RIFOXYA2_FULL_PER-ii_58_14  complete  genome	1248026	58.4785092618
CP006580.1	Enterobacter  cloacae  P101  complete  genome	5369929	54.3801230892
CP001853.1	Bifidobacterium  animalis  subsp.  lactis  BB-12  complete  genome	1942198	60.481320648
CP000697.1	Acidiphilium  cryptum  JF-5  complete  genome	3389227	67.9927310859
CP011208.1	Bordetella  pertussis  strain  J018  complete  genome	4103225	67.7094967983
CP007676.1	Staphylococcus  aureus  strain  HUV05  complete  genome	2842022	32.8030887868
CP007810.1	Xanthomonas  oryzae  pv.  oryzicola  strain  YM15  complete  genome	4430829	64.0530474094
CP002771.1	Marinomonas  posidonica  IVIA-Po-181  complete  genome	3899940	44.2851428484
CP003901.1	Streptococcus  pyogenes  A20  complete  genome	1837281	38.53558601
CP011709.1	Bordetella  pertussis  strain  H864  complete  genome	4106500	67.705442591
CP002444.1	Thermovibrio  ammonificans  HB-1  complete  genome	1682965	52.114868699
CP011479.1	Hoeflea  sp.  IMCC20628  complete  genome	4842322	58.9488679192
CP016826.1	Corynebacterium  pseudotuberculosis  strain  MEX29  complete  genome	2337866	52.1825031888
CP003785.1	Klebsiella  pneumoniae  subsp.  pneumoniae  1084  complete  genome	5386705	57.4139478587
FN597644.1	Bacillus  amyloliquefaciens  DSM7  complete  genome	3980199	46.082344124
CP006979.1	Pseudomonas  monteilii  SB3101  complete  genome	5945120	62.4933054337
CP016537.2	Planococcus  halocryophilus  strain  DSM  24743  complete  genome	3424893	40.0511198452
CP003492.1	Bacillus  sp.  JS  complete  genome	4120406	43.9267635277
FN555004.1	Helicobacter  mustelae  12198  complete  genome	1578097	42.4653237412
CP010556.1	Bacillus  amyloliquefaciens  strain  L-H15  complete  genome	3905973	46.6586942613
AP012978.1	Endosymbiont  of  unidentified  scaly  snail  isolate  Monju  DNA  complete  genome	2597759	65.0571126883
CP012833.1	Salmonella  enterica  subsp.  enterica  serovar  Cerro  str.  CFSAN001588  complete  genome	4651400	52.2857419272
CP020451.1	Streptococcus  salivarius  strain  FDAARGOS_259  complete  genome	2259227	40.1359845646
CP015839.1	Marinobacterium  sp.  ST58-10  complete  genome	5191608	58.7915728614
CP008858.2	Pseudomonas  aeruginosa  strain  F63912  complete  genome	6618768	66.2508188835
CP000781.1	Xanthobacter  autotrophicus  Py2  complete  genome	5308934	67.4646925353
CP000142.2	Pelobacter  carbinolicus  DSM  2380  complete  genome	3665893	55.1137471825
CP009476.1	Bacillus  anthracis  strain  Pasteur  complete  genome	5200082	35.3953841497
CP002002.1	Listeria  monocytogenes  10403S  complete  genome	2903106	38.0319561187
CP012582.1	Pseudomonas  aeruginosa  strain  PA_D21  complete  genome	6639108	66.2141661199
