ID	Description	Length	GC
CP003157.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  complete  genome	2250427	35.8788798748
CP003165.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS1  complete  sequence	4263	31.9727891156
CP003164.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS2  complete  sequence	5461	30.0677531588
CP003163.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS3  complete  sequence	6159	35.8499756454
CP003162.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS4  complete  sequence	7045	38.4244144784
CP003161.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS5  complete  sequence	11676	34.0613223707
CP003160.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS6  complete  sequence	38673	37.1189201769
CP003159.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS7  complete  sequence	53051	32.404667207
CP003158.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS8  complete  sequence	80592	33.9661504864
CP007605.1	Helicobacter  pylori  strain  BM012B  complete  genome	1659060	38.8762311188
CP002332.1	Helicobacter  pylori  Gambia94/24  complete  genome	1709911	39.1263638868
CP002333.1	Helicobacter  pylori  Gambia94/24  plasmid  complete  sequence	2557	37.4266718811
CP012689.1	Campylobacter  jejuni  subsp.  jejuni  strain  RM3197  complete  genome	1664565	30.5924370631
CP018007.1	Bacillus  velezensis  strain  sx01604  complete  genome	3926520	46.5006927254
CP000036.1	Shigella  boydii  Sb227  complete  genome	4519823	51.2128019172
CP000037.1	Shigella  boydii  Sb227  plasmid  pSB4_227  complete  sequence	126697	47.4099623511
CP018245.1	Escherichia  coli  strain  472  complete  genome	5513531	50.4998702284
CP018246.1	Escherichia  coli  strain  472  plasmid  pO157  complete  sequence	95341	47.9919447037
CP000302.1	Shewanella  denitrificans  OS217  complete  genome	4545906	45.1491737841
CP006958.1	UNVERIFIED:  Achromobacter  xylosoxidans  NBRC  15126  =  ATCC  27061  complete  genome	6683584	67.5320157568
CP016684.1	Neisseria  meningitidis  strain  L91543  complete  genome	2173191	51.7226051461
CP003284.1	Anabaena  sp.  90  chromosome  chANA01  complete  sequence	4329264	38.1047679236
CP003285.1	Anabaena  sp.  90  chromosome  chANA02  complete  sequence	819965	38.2121188099
CP003286.1	Anabaena  sp.  90  plasmid  pANA01  complete  sequence	80384	37.2312898089
CP003287.1	Anabaena  sp.  90  plasmid  pANA02  complete  sequence	56037	37.2539572068
CP003288.1	Anabaena  sp.  90  plasmid  pANA03  complete  sequence	20025	37.418227216
CP000993.1	Borrelia  recurrentis  A1  complete  genome	930981	27.5181770627
CP000994.1	Borrelia  recurrentis  A1  plasmid  pl124  complete  sequence	123937	26.1043917474
CP000995.1	Borrelia  recurrentis  A1  plasmid  pl23  complete  sequence	22945	25.7354543474
CP000996.1	Borrelia  recurrentis  A1  plasmid  pl33  complete  sequence	33213	29.5396380935
CP000997.1	Borrelia  recurrentis  A1  plasmid  pl35  complete  sequence	35315	27.2745292369
CP000998.1	Borrelia  recurrentis  A1  plasmid  pl37  complete  sequence	36869	29.4013941251
CP000999.1	Borrelia  recurrentis  A1  plasmid  pl53  complete  sequence	52772	28.9661183961
CP001000.1	Borrelia  recurrentis  A1  plasmid  pl6  complete  sequence	6131	30.924808351
CP012083.1	Bordetella  pertussis  strain  I751  complete  genome	4109556	67.7036156704
CP009715.1	Yersinia  pestis  Pestoides  F  complete  genome	4519828	47.6425430348
CP009713.1	Yersinia  pestis  Pestoides  F  plasmid  pCD  complete  sequence	71507	44.8893115359
CP009714.1	Yersinia  pestis  Pestoides  F  plasmid  pMT  complete  sequence	136983	52.0079133907
CP001680.1	Helicobacter  pylori  52  complete  genome	1568826	38.9409023053
