ID	Description	Length	GC
CP003165.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS1  complete  sequence	4263	31.9727891156
CP003164.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS2  complete  sequence	5461	30.0677531588
CP003163.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS3  complete  sequence	6159	35.8499756454
CP003162.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS4  complete  sequence	7045	38.4244144784
CP003161.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS5  complete  sequence	11676	34.0613223707
CP003160.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS6  complete  sequence	38673	37.1189201769
CP003159.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS7  complete  sequence	53051	32.404667207
CP003158.1	Lactococcus  lactis  subsp.  cremoris  UC509.9  plasmid  pCIS8  complete  sequence	80592	33.9661504864
CP002333.1	Helicobacter  pylori  Gambia94/24  plasmid  complete  sequence	2557	37.4266718811
CP000037.1	Shigella  boydii  Sb227  plasmid  pSB4_227  complete  sequence	126697	47.4099623511
CP018246.1	Escherichia  coli  strain  472  plasmid  pO157  complete  sequence	95341	47.9919447037
CP003286.1	Anabaena  sp.  90  plasmid  pANA01  complete  sequence	80384	37.2312898089
CP003287.1	Anabaena  sp.  90  plasmid  pANA02  complete  sequence	56037	37.2539572068
CP003288.1	Anabaena  sp.  90  plasmid  pANA03  complete  sequence	20025	37.418227216
CP000994.1	Borrelia  recurrentis  A1  plasmid  pl124  complete  sequence	123937	26.1043917474
CP000995.1	Borrelia  recurrentis  A1  plasmid  pl23  complete  sequence	22945	25.7354543474
CP000996.1	Borrelia  recurrentis  A1  plasmid  pl33  complete  sequence	33213	29.5396380935
CP000997.1	Borrelia  recurrentis  A1  plasmid  pl35  complete  sequence	35315	27.2745292369
CP000998.1	Borrelia  recurrentis  A1  plasmid  pl37  complete  sequence	36869	29.4013941251
CP000999.1	Borrelia  recurrentis  A1  plasmid  pl53  complete  sequence	52772	28.9661183961
CP001000.1	Borrelia  recurrentis  A1  plasmid  pl6  complete  sequence	6131	30.924808351
CP009713.1	Yersinia  pestis  Pestoides  F  plasmid  pCD  complete  sequence	71507	44.8893115359
CP009714.1	Yersinia  pestis  Pestoides  F  plasmid  pMT  complete  sequence	136983	52.0079133907
CP010352.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-1  complete  sequence	3978	35.0678733032
CP010353.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-2  complete  sequence	4724	36.8755292125
CP010354.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-3  complete  sequence	11643	33.7627759169
CP010355.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-4  complete  sequence	7579	38.8837577517
CP010356.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-5  complete  sequence	13940	36.9081779053
CP010357.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-6  complete  sequence	13330	36.384096024
CP010358.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-8  complete  sequence	117483	37.0496156891
CP010351.1	Acinetobacter  johnsonii  XBB1  plasmid  pXBB1-9  complete  sequence	398857	39.9915257849
CP010898.2	Pandoraea  vervacti  strain  NS15  plasmid  pPV15  complete  sequence	100282	61.8834885623
CP014925.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-1  complete  sequence	38125	41.1619672131
CP014926.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-2  complete  sequence	45296	42.2509713882
CP014927.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-3  complete  sequence	41255	41.2507574839
CP014928.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-4  complete  sequence	45452	36.7948605122
CP014929.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-5  complete  sequence	35470	41.6577389343
CP014930.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-6  complete  sequence	28402	41.5956622773
CP014931.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-7  complete  sequence	19529	34.6510317989
CP014932.1	Lactobacillus  paracollinoides  strain  TMW  1.1995  plasmid  pL11995-8  complete  sequence	57063	41.7573559049
CP001075.1	Rhizobium  etli  CIAT  652  plasmid  pA  complete  sequence	414090	62.2202902751
CP001076.1	Rhizobium  etli  CIAT  652  plasmid  pB  complete  sequence	429111	57.7594142308
CP001077.1	Rhizobium  etli  CIAT  652  plasmid  pC  complete  sequence	1091523	60.8907920401
CP016531.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  plasmid  pSA01AB09084001_37  complete  sequence	37697	41.1783431042
CP016532.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  plasmid  pSA01AB09084001_4  complete  sequence	4245	53.2626619552
CP016533.1	Salmonella  enterica  subsp.  enterica  serovar  Heidelberg  strain  SA01AB09084001  plasmid  pSA01AB09084001_92  complete  sequence	91980	50.1902587519
CP017280.1	Enterobacter  ludwigii  strain  EN-119  plasmid  pEN-119  complete  sequence	95331	54.7723196022
CP003562.1	Flammeovirga  sp.  MY04  plasmid  complete  sequence	82913	31.1555485871
CP019028.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_1  complete  sequence	147346	51.0947022654
CP019027.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_2  complete  sequence	109344	46.0793459175
CP019025.1	Escherichia  coli  strain  Ecol_881  plasmid  pEC881_4  complete  sequence	6647	48.5030840981
